id,apple,samsung,amazon,others,model,screensize,storage,isnight,returnsaccepted,returnsdays,sellerfeedbackscore,bids,price,ram,resolution,selleritemssold,ispolice,sellerlifepercent,selleryearpercent,isused,isbroken,deliveryspeed,startingprice,issold,bidcount,ruletriggered,nobid,residual
115581757183,0,0,1,0,kindle fire kids 7,7,16,0,0,-1,539,1.4288999,1.829152,.5,1024x600,19,0,100,100,1,0,1,.91429013,1,8,1,7,-.024317265
115581757183,0,0,1,0,kindle fire kids 7,7,16,0,0,-1,539,.97146899,1.829152,.5,1024x600,19,0,100,100,1,0,1,.91429013,1,8,1,8,-.48174816
115586966039,0,0,1,0,kindle fire 5,7,8,0,0,-1,486,1.5432577,1.5432577,1,-1,208,0,94.099998,89,1,0,1,.79993236,1,3,1,1,-.034751058
115586966039,0,0,1,0,kindle fire 5,7,8,0,0,-1,486,1.4860789,1.5432577,1,-1,208,0,94.099998,89,1,0,1,.79993236,1,3,1,2,-.091929913
115586966039,0,0,1,0,kindle fire 5,7,8,0,0,-1,486,.91429013,1.5432577,1,-1,208,0,94.099998,89,1,0,1,.79993236,1,3,1,3,-.66371864
115608201109,0,0,1,0,kindle fire 5,7,8,0,0,-1,513,.81193995,.81193995,8,1024x600,410,0,100,100,1,0,0,.21099003,1,5,1,1,-.54128623
115608201109,0,0,1,0,kindle fire 5,7,8,0,0,-1,513,.78335053,.81193995,8,1024x600,410,0,100,100,1,0,0,.21099003,1,5,1,2,-.56987566
115608201109,0,0,1,0,kindle fire 5,7,8,0,0,-1,513,.72617161,.81193995,8,1024x600,410,0,100,100,1,0,0,.21099003,1,5,1,3,-.62705457
115608201109,0,0,1,0,kindle fire 5,7,8,0,0,-1,513,.6118139,.81193995,8,1024x600,410,0,100,100,1,0,0,.21099003,1,5,1,4,-.74141228
115608201109,0,0,1,0,kindle fire 5,7,8,0,0,-1,513,.44027728,.81193995,8,1024x600,410,0,100,100,1,0,0,.21099003,1,5,1,5,-.91294891
115609357403,1,0,0,0,ipad pro 2,11,128,0,0,-1,5,1.977795,1.977795,6,2388x1668,3,0,0,0,1,0,0,1.977795,1,1,0,1,1.1463959
115617005874,1,0,0,0,ipad pro 2,11,128,1,0,-1,209,1.5698916,1.5698916,-1,-1,103,0,100,100,1,0,2,.81178153,1,9,1,1,.4792645
115617005874,1,0,0,0,ipad pro 2,11,128,1,0,-1,209,1.5363469,1.5698916,-1,-1,103,0,100,100,1,0,2,.81178153,1,9,1,2,.44571984
115617005874,1,0,0,0,ipad pro 2,11,128,1,0,-1,209,1.3417877,1.5698916,-1,-1,103,0,100,100,1,0,2,.81178153,1,9,1,3,.25116062
115617005874,1,0,0,0,ipad pro 2,11,128,1,0,-1,209,1.3065658,1.5698916,-1,-1,103,0,100,100,1,0,2,.81178153,1,9,1,4,.21593869
115617005874,1,0,0,0,ipad pro 2,11,128,1,0,-1,209,1.1136837,1.5698916,-1,-1,103,0,100,100,1,0,2,.81178153,1,9,1,5,.023056626
115617005874,1,0,0,0,ipad pro 2,11,128,1,0,-1,209,1.080139,1.5698916,-1,-1,103,0,100,100,1,0,2,.81178153,1,9,1,6,-.010488033
115617005874,1,0,0,0,ipad pro 2,11,128,1,0,-1,209,1.0465944,1.5698916,-1,-1,103,0,100,100,1,0,2,.81178153,1,9,1,7,-.044032693
115617005874,1,0,0,0,ipad pro 2,11,128,1,0,-1,209,1.0382417,1.5698916,-1,-1,103,0,100,100,1,0,2,.81178153,1,9,1,8,-.05238533
115617005874,1,0,0,0,ipad pro 2,11,128,1,0,-1,209,.81178153,1.5698916,-1,-1,103,0,100,100,1,0,2,.81178153,1,9,1,9,-.27884555
115618968132,1,0,0,0,ipad pro 6,12.9,128,0,0,-1,18,3.5557373,3.5557373,-1,-1,1,0,100,100,0,0,2,3.2202904,1,3,0,1,1.2793047
