id,apple,samsung,amazon,others,model,screenSize,storage,isNight,returnsAccepted,returnsDays,sellerFeedbackScore,bids,price,ram,resolution,sellerItemsSold,isPolice,sellerLifePercent,sellerYearPercent,isUsed,isBroken,deliverySpeed,startingPrice,isSold,endTime,bidCount
255953235577,1,0,0,0,ipad pro 4,12.9,256,0,1,30,44067.99497785214,"[218.99, 213.99, 203.99, 58.99, 28.99, 7.99, 6.99, 5.99]",218.99,,,94000,0,99.8,100.0,1,1,2.0,4.98,1,2023-02-06 15:19:01+00:00,8
165909537297,1,0,0,0,ipad pro 4,12.9,256,1,0,-1,448.0,"[483.0, 473.0, 448.0, 438.0, 328.0, 306.0, 301.0, 276.0]",483.0,,,100,0,100.0,100.0,1,0,2.0,276.0,1,2023-02-03 20:51:18+00:00,8
275653393330,1,0,0,0,ipad pro 4,12.9,256,1,0,-1,458.0,[550.0],550.0,,,125,0,100.0,100.0,1,0,2.0,550.0,1,2023-02-03 20:33:36+00:00,1
234874889887,1,0,0,0,ipad pro 4,12.9,256,1,0,-1,455.0,"[468.95, 458.95, 428.95, 408.95, 398.95, 368.95, 308.95]",468.95,,,909,0,100.0,98.0,1,0,2.0,308.95,1,2023-02-03 20:30:01+00:00,7
175579747594,1,0,0,0,ipad pro 4,12.9,256,1,0,-1,125.0,"[626.55, 606.55, 605.55, 485.55, 455.55, 375.55, 365.55]",626.55,,,13,0,100.0,100.0,1,0,1.0,355.55,1,2023-01-26 21:43:57+00:00,7
234859898725,1,0,0,0,ipad pro 4,12.9,256,1,0,-1,455.0,"[548.95, 538.95, 528.95, 518.95, 514.94, 348.95, 308.95, 298.95, 258.95]",548.95,,,909,0,100.0,98.0,1,0,2.0,258.95,1,2023-01-21 20:20:01+00:00,9
165884353676,1,0,0,0,ipad pro 4,12.9,256,1,0,-1,448.0,"[541.0, 531.0, 521.0, 507.0, 381.0, 361.0, 306.0, 286.0]",541.0,,,100,0,100.0,100.0,1,0,2.0,276.0,1,2023-01-20 17:50:54+00:00,8
155357208352,1,0,0,0,ipad pro 4,12.9,256,1,0,-1,457.0,[661.15],661.15,,,56,0,100.0,100.0,1,0,2.0,661.15,1,2023-01-14 18:19:14+00:00,1
165927508644,0,0,1,0,kindle fire hd 11,10.0,32,1,1,30,21205.088118092433,"[105.2, 103.2, 83.2, 81.2, 79.0, 78.2, 65.0, 58.2, 47.2, 43.2, 14.2]",105.2,,,46000,1,100.0,100.0,0,0,0.0,4.19,1,2023-02-19 20:10:01+00:00,11
275698842974,1,0,0,0,ipad mini 1,7.9,12,0,0,-1,126.0,"[21.75, 20.75, 18.75, 17.75, 14.75, 7.75, 5.75]",21.75,,,124,0,100.0,100.0,1,0,0.0,3.74,1,2023-02-22 16:56:57+00:00,7
