id,brand,model,screenSize,storage,postage,endTime,returnsAccepted,returnsDays,sellerFeedbackScore,bids,price,ram,resolution,sellerItemsSold,isPolice,sellerLifePercent,sellerYearPercent,isUsed,isBroken,deliverySpeed,startingPrice,isSold
185702325142,apple,ipad pro 2,11.0,128,5.55,"24 Dec, 2022 17:00:13 GMT",0,-1,40,"[430.0, 430.0, 330.01, 300.0, 250.0, 230.0, 204.0, 174.0, 169.0, 157.0, 152.0, 94.45, 55.0, 53.0, 50.0, 4.0]",430.0,-1.0,-1,13,0,100.0,100.0,1,0,1,0.99,1
134350304367,apple,ipad pro 5,12.9,128,9.99,"12 Dec, 2022 19:04:23 GMT",0,-1,2365,"[690.0, 670.0]",690.0,-1.0,-1,765,0,100.0,100.0,1,0,1,650.0,1
155317813232,apple,ipad pro 4,11.0,128,0,"22 Dec, 2022 19:18:01 GMT",0,-1,11,"[664.0, 644.0, 641.0, 600.21, 550.0, 510.0, 490.0, 480.0]",664.0,-1.0,-1,3,0,100.0,100.0,0,0,2,480.0,1
204191060496,apple,ipad air 4,10.9,64,7.99,"02 Jan, 2023 20:30:01 GMT",1,14,-1,"[320.0, 310.0, 300.01, 275.0, 233.0]",320.0,4.0,2360x1640,35000,0,99.4,99.0,1,0,1,212.5,1
354472161438,apple,ipad 10,10.9,64,8.95,"26 Dec, 2022 08:17:16 GMT",0,-1,96,"[420.0, 410.0, 340.0, 310.0, 200.0, 113.0, 105.0]",420.0,8.0,2360x1640,100,0,100.0,100.0,0,0,2,105.0,1
364096417278,apple,ipad 9,10.1,64,7.50,"02 Jan, 2023 12:14:31 GMT",0,-1,27,"[280.0, 275.0, 265.0, 260.0, 255.0]",280.0,3.0,2048x1536,70,0,100.0,100.0,1,0,0,250.0,1
165845454970,apple,ipad air 4,10.9,64,6.92,"28 Dec, 2022 16:20:20 GMT",0,-1,8,"[345.0, 340.0, 325.0, 299.0, 284.0, 184.0, 179.0]",345.0,-1.0,2360x1640,5,0,100.0,100.0,1,0,2,179.0,1
374436186794,apple,ipad 9,10.2,64,8.95,"02 Jan, 2023 18:05:01 GMT",0,-1,166,"[310.0, 300.0, 295.0, 250.0, 230.0, 60.0, 50.0, 26.0, 25.0, 15.0, 4.0]",310.0,3.0,-1,303,0,91.3,88.0,0,0,0,0.99,1
404003019931,apple,ipad air 5,10.9,64,11.99,"28 Nov, 2022 22:00:01 GMT",0,-1,210,"[409.0, 399.0, 370.0, 300.0, 300.0, 250.0, 220.0, 201.0, 170.0, 160.0, 106.0, 50.0, 12.0, 10.0, 1.0]",409.0,8.0,2360x1640,163,0,100.0,100.0,1,0,2,1.0,1
155292714986,apple,ipad air 4,10.9,64,12.99,"08 Dec, 2022 12:39:48 GMT",0,-1,915,"[375.0, 365.0, 295.0]",375.0,-1.0,2360x1640,347,0,100.0,100.0,1,0,2,285.0,1
404002995304,apple,ipad air 5,10.9,64,11.95,"27 Nov, 2022 21:48:01 GMT",0,-1,210,"[499.63, 490.0, 465.0, 455.0, 435.0, 405.0, 395.0, 370.0, 295.0, 275.0, 255.0, 180.0, 106.0, 30.0, 6.0]",499.63,8.0,2360x1640,163,0,100.0,100.0,0,0,2,1.0,1
325469439501,apple,ipad pro 4,12.9,256,7.99,"24 Dec, 2022 20:30:01 GMT",1,14,-1,"[511.0, 501.0, 440.0, 325.0, 320.0, 300.0]",511.0,6.0,2732x2048,35000,0,99.4,99.0,1,0,1,299.99,1
165838758753,apple,ipad pro 4,12.9,256,7.00,"24 Dec, 2022 10:50:05 GMT",0,-1,448,"[510.0, 500.0, 500.0, 306.0, 299.0, 294.0, 274.0, 269.0]",510.0,6.0,2732x2048,98,0,100.0,100.0,1,0,2,269.0,1
354466046700,apple,ipad pro 4,12.9,256,6.92,"21 Dec, 2022 18:21:17 GMT",0,-1,1089,"[530.0, 520.0, 510.0]",530.0,6.0,2732x2048,847,0,100.0,100.0,1,0,2,500.0,1
