idx,apple,samsung,amazon,others,screensize,storage,isnight,returnsaccepted,isused,isbroken,deliveryspeed,se_apple,se_samsung,se_amazon,se_others,se_screensize,se_storage,se_isnight,se_returnsaccepted,se_isused,se_isbroken,se_deliveryspeed,r_squared
786,-1.9661095,-1.3096082,-.22656053,-.71420449,.30322698,.0006313519,.066570938,-.18609789,-.56960815,-.6984638,.10272153,.12765929,.11882252,.10162151,.11080208,.0089516034,.000045527475,.022391042,.028813383,.03136608,.04822515,.014416285,.77279967
787,-1.9661095,-1.3096082,-.22656053,-.71420449,.30322698,.0006313519,.066570938,-.18609789,-.56960815,-.6984638,.10272153,.12765929,.11882252,.10162151,.11080208,.0089516034,.000045527475,.022391042,.028813383,.03136608,.04822515,.014416285,.77279967
788,-1.9661095,-1.3096082,-.22656053,-.71420449,.30322698,.0006313519,.066570938,-.18609789,-.56960815,-.6984638,.10272153,.12765929,.11882252,.10162151,.11080208,.0089516034,.000045527475,.022391042,.028813383,.03136608,.04822515,.014416285,.77279967
789,-1.9661095,-1.3096082,-.22656053,-.71420449,.30322698,.0006313519,.066570938,-.18609789,-.56960815,-.6984638,.10272153,.12765929,.11882252,.10162151,.11080208,.0089516034,.000045527475,.022391042,.028813383,.03136608,.04822515,.014416285,.77279967
790,-1.9661095,-1.3096082,-.22656053,-.71420449,.30322698,.0006313519,.066570938,-.18609789,-.56960815,-.6984638,.10272153,.12765929,.11882252,.10162151,.11080208,.0089516034,.000045527475,.022391042,.028813383,.03136608,.04822515,.014416285,.77279967
791,-1.9661095,-1.3096082,-.22656053,-.71420449,.30322698,.0006313519,.066570938,-.18609789,-.56960815,-.6984638,.10272153,.12765929,.11882252,.10162151,.11080208,.0089516034,.000045527475,.022391042,.028813383,.03136608,.04822515,.014416285,.77279967
792,-1.9578921,-1.3029262,-.21924952,-.70830274,.30210707,.00063212885,.069139637,-.18726237,-.56838948,-.69807523,.10287064,.12782446,.11898553,.10176123,.11096047,.0089587504,.000045596116,.022456503,.028854942,.031414662,.048300996,.014466351,.77230817
793,-1.9578921,-1.3029262,-.21924952,-.70830274,.30210707,.00063212885,.069139637,-.18726237,-.56838948,-.69807523,.10287064,.12782446,.11898553,.10176123,.11096047,.0089587504,.000045596116,.022456503,.028854942,.031414662,.048300996,.014466351,.77230817
794,-1.9578921,-1.3029262,-.21924952,-.70830274,.30210707,.00063212885,.069139637,-.18726237,-.56838948,-.69807523,.10287064,.12782446,.11898553,.10176123,.11096047,.0089587504,.000045596116,.022456503,.028854942,.031414662,.048300996,.014466351,.77230817
795,-1.9578921,-1.3029262,-.21924952,-.70830274,.30210707,.00063212885,.069139637,-.18726237,-.56838948,-.69807523,.10287064,.12782446,.11898553,.10176123,.11096047,.0089587504,.000045596116,.022456503,.028854942,.031414662,.048300996,.014466351,.77230817
